timestamp;rawx;rawy;filteredx;filteredy;currentLineNumber
2021-02-22-10-20-37-789;1303;481;1281.68;1021.4;25
2021-02-22-10-20-37-805;1303;481;1282.66;1002.96;25
2021-02-22-10-20-37-822;1303;481;1283.64;984.136;24
2021-02-22-10-20-37-839;1303;481;1284.62;965.054;24
2021-02-22-10-20-37-855;1303;481;1285.59;945.823;23
2021-02-22-10-20-37-872;1303;481;1286.55;926.544;22
2021-02-22-10-20-37-889;1303;481;1287.5;907.31;22
2021-02-22-10-20-37-905;1303;481;1288.43;888.205;21
2021-02-22-10-20-37-922;1303;481;1289.33;869.302;21
2021-02-22-10-20-37-939;1303;481;1290.22;850.67;20
2021-02-22-10-20-37-956;1303;481;1291.08;832.368;19
2021-02-22-10-20-37-972;1303;481;1291.92;814.448;19
2021-02-22-10-20-37-989;1303;481;1292.72;796.957;18
2021-02-22-10-20-38-005;1303;481;1293.5;779.934;18
2021-02-22-10-20-38-022;1303;481;1294.25;763.414;17
2021-02-22-10-20-38-039;1303;481;1294.97;747.424;17
2021-02-22-10-20-38-056;1303;481;1295.66;731.987;16
2021-02-22-10-20-38-072;1303;481;1296.32;717.124;16
2021-02-22-10-20-38-089;1303;481;1296.95;702.848;15
2021-02-22-10-20-38-106;1303;481;1297.55;689.168;15
2021-02-22-10-20-38-119;1303;481;1298.11;676.093;15
2021-02-22-10-20-38-136;1303;481;1298.65;663.625;14
2021-02-22-10-20-38-153;1303;481;1299.15;651.765;14
2021-02-22-10-20-38-169;1303;481;1299.63;640.509;13
2021-02-22-10-20-38-186;1303;481;1300.08;629.853;13
2021-02-22-10-20-38-203;1303;481;1300.49;619.79;13
2021-02-22-10-20-38-219;1303;481;1300.89;610.309;13
2021-02-22-10-20-38-236;1303;481;1301.25;601.401;12
2021-02-22-10-20-38-253;1303;481;1301.59;593.052;12
2021-02-22-10-20-38-269;1303;481;1301.9;585.248;12
2021-02-22-10-20-38-286;1303;481;1302.19;577.974;11
2021-02-22-10-20-38-303;1303;481;1302.46;571.14;11
2021-02-22-10-20-38-320;1303;481;1302.7;564.592;11
2021-02-22-10-20-38-336;1303;481;1302.92;558.26;11
2021-02-22-10-20-38-353;1303;481;1303.12;552.152;11
2021-02-22-10-20-38-370;1303;481;1303.31;546.275;11
2021-02-22-10-20-38-386;1303;481;1303.47;540.634;10
2021-02-22-10-20-38-402;1303;481;1303.62;535.234;10
2021-02-22-10-20-38-420;1303;481;1303.75;530.076;10
2021-02-22-10-20-38-439;1303;481;1303.86;525.162;10
2021-02-22-10-20-38-452;1303;481;1303.96;520.49;10
2021-02-22-10-20-38-469;1303;481;1304.05;516.06;10
2021-02-22-10-20-38-486;1303;481;1304.12;511.87;9
2021-02-22-10-20-38-503;1303;481;1304.18;507.915;9
2021-02-22-10-20-38-519;1303;481;1304.23;504.193;9
2021-02-22-10-20-38-536;1303;481;1304.28;500.698;9
2021-02-22-10-20-38-552;1303;481;1304.31;497.425;9
2021-02-22-10-20-38-570;1303;481;1304.33;494.368;9
2021-02-22-10-20-38-586;1303;481;1304.34;491.522;9
2021-02-22-10-20-38-603;1303;481;1304.35;488.879;9
2021-02-22-10-20-38-620;1303;481;1304.35;486.433;9
